"skuId","reservationTerm","retailPrice","productName","armSkuName","skuName"
"DZH318Z0CM29/008R","3 Years","25232","Virtual Machines Eav4 Series","Standard_E32a_v4","E32a v4"
"DZH318Z0CM2D/008N","1 Year","12528","Virtual Machines Easv4 Series","Standard_E32as_v4","E32as v4"
"DZH318Z0CM29/008S","1 Year","12528","Virtual Machines Eav4 Series","Standard_E32a_v4","E32a v4"
"DZH318Z0CM2D/008C","3 Years","25232","Virtual Machines Easv4 Series","Standard_E32as_v4","E32as v4"
"DZH318Z0BQ4B/0034","1 Year","3763","Virtual Machines D Series","Standard_D4","D4"
"DZH318Z0BQ4S/004F","1 Year","3763","Virtual Machines DS Series","Standard_DS4","DS4"
"DZH318Z0BQ4S/0069","3 Years","7586","Virtual Machines DS Series","Standard_DS4","DS4"
"DZH318Z0BQ4B/0035","3 Years","7586","Virtual Machines D Series","Standard_D4","D4"
"DZH318Z0CGPD/001W","1 Year","6531","Virtual Machines NVasv4 Series","Standard_NV16as_v4","NV16as v4"
"DZH318Z0CGPD/0019","3 Years","13471","Virtual Machines NVasv4 Series","Standard_NV16as_v4","NV16as v4"
"DZH318Z09B62/0070","1 Year","33190","ECadsv5-series Linux","Standard_EC64ads_v5","Standard_EC64ads_v5"
"DZH318Z09B62/006X","3 Years","74677","ECadsv5-series Linux","Standard_EC64ads_v5","Standard_EC64ads_v5"
"DZH318Z08LV1/008Z","1 Year","114351","Virtual Machines MdSv2 Series","Standard_M192ids_v2","M192ids_v2"
"DZH318Z08LV1/0090","3 Years","165628","Virtual Machines MdSv2 Series","Standard_M192ids_v2","M192ids_v2"
"DZH318Z0BQ4C/002Q","3 Years","5904","Virtual Machines DSv2 Series","Standard_DS4_v2","DS4 v2"
"DZH318Z0BQ4C/00H0","1 Year","2876","Virtual Machines DSv2 Series","Standard_DS4_v2","DS4 v2"
"DZH318Z0BQ34/005J","1 Year","2876","Virtual Machines Dv2 Series","Standard_D4_v2","D4 v2"
"DZH318Z0BQ34/005K","3 Years","5904","Virtual Machines Dv2 Series","Standard_D4_v2","D4 v2"
"DZH318Z0CM29/005R","3 Years","75696","Virtual Machines Eav4 Series","Standard_E96a_v4","E96a v4"
"DZH318Z0CM2D/0062","1 Year","37584","Virtual Machines Easv4 Series","Standard_E96as_v4","E96as v4"
"DZH318Z0CM29/0064","1 Year","37584","Virtual Machines Eav4 Series","Standard_E96a_v4","E96a v4"
"DZH318Z0CM2D/005L","3 Years","75696","Virtual Machines Easv4 Series","Standard_E96as_v4","E96as v4"
"DZH318Z08M9W/02JT","1 Year","594","Virtual Machines Dsv5 Series","Standard_D2s_v5","Standard_D2s_v5"
"DZH318Z08M9W/02JQ","3 Years","1148","Virtual Machines Dsv5 Series","Standard_D2s_v5","Standard_D2s_v5"
"DZH318Z08MC2/029M","3 Years","10865","Virtual Machines Ddv5 Series","Standard_D16d_v5","Standard_D16d_v5"
"DZH318Z08MC2/029N","1 Year","5623","Virtual Machines Ddv5 Series","Standard_D16d_v5","Standard_D16d_v5"
"DZH318Z0CM29/005F","3 Years","15770","Virtual Machines Eav4 Series","Standard_E20a_v4","E20a v4"
"DZH318Z0CM2D/0066","1 Year","7830","Virtual Machines Easv4 Series","Standard_E20as_v4","E20as v4"
"DZH318Z0CM29/0065","1 Year","7830","Virtual Machines Eav4 Series","Standard_E20a_v4","E20a v4"
"DZH318Z0CM2D/005F","3 Years","15770","Virtual Machines Easv4 Series","Standard_E20as_v4","E20as v4"
"DZH318Z09LR5/00WC","3 Years","3274","Virtual Machines Ebsv5 Series","Standard_E4bs_v5","Standard_E4bs_v5"
"DZH318Z09LR5/00W8","1 Year","1840","Virtual Machines Ebsv5 Series","Standard_E4bs_v5","Standard_E4bs_v5"
"DZH318Z092SD/0119","3 Years","14700","Virtual Machines Dpsv5 Series","Standard_D32ps_v5","Standard_D32ps_v5"
"DZH318Z092SD/011B","1 Year","7608","Virtual Machines Dpsv5 Series","Standard_D32ps_v5","Standard_D32ps_v5"
"DZH318Z0BQ51/0029","3 Years","1483","Virtual Machines F Series","Standard_F2","F2"
"DZH318Z0BQ51/0028","1 Year","724","Virtual Machines F Series","Standard_F2","F2"
"DZH318Z0BQ4P/002N","1 Year","724","Virtual Machines FS Series","Standard_F2s","F2s"
"DZH318Z0BQ4P/002P","3 Years","1483","Virtual Machines FS Series","Standard_F2s","F2s"
"DZH318Z08NR0/006T","3 Years","14507","DCsv3 Series Linux","Standard_DC8s_v3","standard_DC8s_v3"
"DZH318Z08NR0/006V","1 Year","6447","DCsv3 Series Linux","Standard_DC8s_v3","standard_DC8s_v3"
"DZH318Z0BQ35/002N","1 Year","984","Virtual Machines BS Series","Standard_B4ms","B4ms"
"DZH318Z0BQ35/002T","3 Years","1900","Virtual Machines BS Series","Standard_B4ms","B4ms"
"DZH318Z0D1L7/01RK","1 Year","25139","Virtual Machines Ev4 Series","Standard_E64_v4","E64 v4"
"DZH318Z0D1L7/01RG","3 Years","48574","Virtual Machines Ev4 Series","Standard_E64_v4","E64 v4"
"DZH318Z092SD/011H","3 Years","1837","Virtual Machines Dpsv5 Series","Standard_D4ps_v5","Standard_D4ps_v5"
"DZH318Z092SD/011J","1 Year","951","Virtual Machines Dpsv5 Series","Standard_D4ps_v5","Standard_D4ps_v5"
"DZH318Z0CSHJ/01CV","3 Years","2297","Virtual Machines Dsv4 Series","Standard_D4s_v4","D4s v4"
"DZH318Z0CSHJ/01D1","1 Year","1189","Virtual Machines Dsv4 Series","Standard_D4s_v4","D4s v4"
"DZH318Z093WZ/040S","1 Year","2832","Virtual Machines Easv5 Series","Standard_E8-4as_v5","E8-4as v5"
"DZH318Z093WZ/040R","3 Years","5473","Virtual Machines Easv5 Series","Standard_E8-4as_v5","E8-4as v5"
"DZH318Z09B68/0089","3 Years","4320","ECasv5-series Linux","Standard_EC4as_v5","Standard_EC4as_v5"
"DZH318Z09B68/008B","1 Year","1920","ECasv5-series Linux","Standard_EC4as_v5","Standard_EC4as_v5"
"DZH318Z09V9F/000W","1 Year","47210","Edsv5 Series DedicatedHost","Edsv5_Type1","Edsv5 Type1"
"DZH318Z09V9F/000R","3 Years","91220","Edsv5 Series DedicatedHost","Edsv5_Type1","Edsv5 Type1"
"DZH318Z09B5V/000G","1 Year","44896","DCasv5 series DedicatedHost","DCasv5 Type 1","Type 1"
"DZH318Z09B5V/000B","3 Years","101016","DCasv5 series DedicatedHost","DCasv5 Type 1","Type 1"
"DZH318Z08M9L/02CV","3 Years","3875","Virtual Machines Dlsv5 Series","Standard_D8ls_v5","D8ls v5"
"DZH318Z08M9L/02D1","1 Year","2005","Virtual Machines Dlsv5 Series","Standard_D8ls_v5","D8ls v5"
"DZH318Z09LQP/00TG","3 Years","15898","Virtual Machines Ebdsv5 Series","Standard_E16bds_v5","Standard_E16bds_v5"
"DZH318Z09LQP/00V3","1 Year","8228","Virtual Machines Ebdsv5 Series","Standard_E16bds_v5","Standard_E16bds_v5"
"DZH318Z0BQ4C/005M","1 Year","1079","Virtual Machines DSv2 Series","Standard_DS11_v2","DS11 v2"
"DZH318Z0BQ4C/0014","3 Years","2147","Virtual Machines DSv2 Series","Standard_DS11_v2","DS11 v2"
"DZH318Z0BQ34/005D","1 Year","1079","Virtual Machines Dv2 Series","Standard_D11_v2","D11 v2"
"DZH318Z0BQ34/005F","3 Years","2147","Virtual Machines Dv2 Series","Standard_D11_v2","D11 v2"
"DZH318Z0BQ4C/01TV","3 Years","2147","Virtual Machines DSv2 Series","Standard_DS11-1_v2","DS11-1 v2"
"DZH318Z0BQ4C/01TT","1 Year","1079","Virtual Machines DSv2 Series","Standard_DS11-1_v2","DS11-1 v2"
"DZH318Z093WZ/0413","1 Year","5665","Virtual Machines Easv5 Series","Standard_E16as_v5","E16as v5"
"DZH318Z093WZ/040W","3 Years","10945","Virtual Machines Easv5 Series","Standard_E16as_v5","E16as v5"
"DZH318Z0CM29/007R","3 Years","50464","Virtual Machines Eav4 Series","Standard_E64a_v4","E64a v4"
"DZH318Z0CM29/007S","1 Year","25056","Virtual Machines Eav4 Series","Standard_E64a_v4","E64a v4"
"DZH318Z0CM2D/0078","1 Year","25056","Virtual Machines Easv4 Series","Standard_E64as_v4","E64as v4"
"DZH318Z0CM2D/0076","3 Years","50464","Virtual Machines Easv4 Series","Standard_E64as_v4","E64as v4"
"DZH318Z0JH5G/006C","3 Years","69953","Ebdsv5 Series Dedicated Host","Ebdsv5-Type1","Ebdsv5-Type1"
"DZH318Z0JH5G/006D","1 Year","36204","Ebdsv5 Series Dedicated Host","Ebdsv5-Type1","Ebdsv5-Type1"
"DZH318Z08W2R/016C","3 Years","29959","Virtual Machines Dadsv5 Series","Standard_D48ads_v5","Standard_D48ads_v5"
"DZH318Z08W2R/016L","1 Year","15505","Virtual Machines Dadsv5 Series","Standard_D48ads_v5","Standard_D48ads_v5"
"DZH318Z08M9J/0395","3 Years","15179","Virtual Machines Ev5 Series","Standard_E20_v5","Standard_E20_v5"
"DZH318Z08M9J/039B","1 Year","7856","Virtual Machines Ev5 Series","Standard_E20_v5","Standard_E20_v5"
"DZH318Z0CSHL/03HT","3 Years","48574","Virtual Machines Esv4 Series","Standard_E64-16s_v4","E64-16s v4"
"DZH318Z0CSHL/03HS","1 Year","25139","Virtual Machines Esv4 Series","Standard_E64-16s_v4","E64-16s v4"
"DZH318Z093X0/03XR","1 Year","26131","Virtual Machines Eadsv5 Series","Standard_E64-16ads_v5","E64-16ads v5"
"DZH318Z093X0/03XN","3 Years","50491","Virtual Machines Eadsv5 Series","Standard_E64-16ads_v5","E64-16ads v5"
"DZH318Z08VHS/004J","3 Years","302449","MdSv2 Series Dedicated Host","Mdsmv2MedMem _Type1","Mdsmv2MedMem Type1"
"DZH318Z08VHS/004G","1 Year","208834","MdSv2 Series Dedicated Host","Mdsmv2MedMem _Type1","Mdsmv2MedMem Type1"
"DZH318Z0CSHL/03J1","3 Years","12143","Virtual Machines Esv4 Series","Standard_E16-8s_v4","E16-8s v4"
"DZH318Z0CSHL/03J2","1 Year","6285","Virtual Machines Esv4 Series","Standard_E16-8s_v4","E16-8s v4"
"DZH318Z0BCGZ/004Z","1 Year","7767","Virtual Machines NCadsA10v4 Series","Standard_NC8ads_A10_v4","Standard_NC8ads_A10_v4"
"DZH318Z0BCGZ/003Z","3 Years","15032","Virtual Machines NCadsA10v4 Series","Standard_NC8ads_A10_v4","Standard_NC8ads_A10_v4"
"DZH318Z092SH/014M","3 Years","5512","Virtual Machines Epdsv5 Series","Standard_E8pds_v5","Standard_E8pds_v5"
"DZH318Z092SH/014K","1 Year","2853","Virtual Machines Epdsv5 Series","Standard_E8pds_v5","Standard_E8pds_v5"
"DZH318Z0BX5L/01DP","1 Year","303115","Virtual Machines MSv2 Series","Standard_M416is_v2","M416is v2"
"DZH318Z0BX5L/01DN","3 Years","438995","Virtual Machines MSv2 Series","Standard_M416is_v2","M416is v2"
"DZH318Z08NR0/006F","1 Year","12895","DCsv3 Series Linux","Standard_DC16s_v3","standard_DC16s_v3"
"DZH318Z08NR0/006D","3 Years","29013","DCsv3 Series Linux","Standard_DC16s_v3","standard_DC16s_v3"
"DZH318Z08NR9/01P7","3 Years","49272","Lasv3 Series Linux","Standard_L48as_v3","Standard_L48as_v3"
"DZH318Z08NR9/01P8","1 Year","25027","Lasv3 Series Linux","Standard_L48as_v3","Standard_L48as_v3"
"DZH318Z0CSHL/03HC","3 Years","24287","Virtual Machines Esv4 Series","Standard_E32s_v4","E32s v4"
"DZH318Z0CSHL/03HR","1 Year","12570","Virtual Machines Esv4 Series","Standard_E32s_v4","E32s v4"
"DZH318Z0BQ35/002F","1 Year","61","Virtual Machines BS Series","Standard_B1s","B1s"
"DZH318Z0BQ35/002M","3 Years","119","Virtual Machines BS Series","Standard_B1s","B1s"
"DZH318Z0D1L5/018R","1 Year","28613","Virtual Machines Edv4 Series","Standard_E64d_v4","E64d v4"
"DZH318Z0D1L5/018L","3 Years","55285","Virtual Machines Edv4 Series","Standard_E64d_v4","E64d v4"
"DZH318Z08NRF/005N","3 Years","2144","DCdsv3 Series Linux","Standard_DC1ds_v3","standard_DC1ds_v3"
"DZH318Z08NRF/005T","1 Year","953","DCdsv3 Series Linux","Standard_DC1ds_v3","standard_DC1ds_v3"
"DZH318Z0BQM3/00KP","3 Years","90976","Virtual Machines LSv2 Series","Standard_L88is_v2","L88is v2"
"DZH318Z0BQM3/00KM","1 Year","45667","Virtual Machines LSv2 Series","Standard_L88is_v2","L88is v2"
"DZH318Z08M9X/029Q","3 Years","4594","Virtual Machines Dv5 Series","Standard_D8_v5","Standard_D8_v5"
"DZH318Z08M9X/029P","1 Year","2377","Virtual Machines Dv5 Series","Standard_D8_v5","Standard_D8_v5"
"DZH318Z0CM2D/022Z","3 Years","6391","Virtual Machines Easv4 Series","Standard_E8-2as_v4","E8-2as_v4"
"DZH318Z0CM2D/0234","1 Year","3196","Virtual Machines Easv4 Series","Standard_E8-2as_v4","E8-2as_v4"
"DZH318Z0BQ35/003B","1 Year","246","Virtual Machines BS Series","Standard_B2s","B2s"
"DZH318Z0BQ35/003D","3 Years","475","Virtual Machines BS Series","Standard_B2s","B2s"
"DZH318Z09JCN/00Q0","3 Years","98010","Virtual Machines NVadsA10v5 Series","Standard_NV72ads_A10_v5","Standard_NV72ads_A10_v5"
"DZH318Z09JCN/00PZ","1 Year","47520","Virtual Machines NVadsA10v5 Series","Standard_NV72ads_A10_v5","Standard_NV72ads_A10_v5"
"DZH318Z08M9J/039F","1 Year","3142","Virtual Machines Ev5 Series","Standard_E8_v5","Standard_E8_v5"
"DZH318Z08M9J/0399","3 Years","6072","Virtual Machines Ev5 Series","Standard_E8_v5","Standard_E8_v5"
"DZH318Z096SN/062F","3 Years","41464","Virtual Machines Edsv5 Series","Standard_E48ds_v5","E48ds v5"
"DZH318Z096SN/062D","1 Year","21459","Virtual Machines Edsv5 Series","Standard_E48ds_v5","E48ds v5"
"DZH318Z0D1L4/01D9","1 Year","4755","Virtual Machines Dv4 Series","Standard_D16_v4","D16 v4"
"DZH318Z0D1L4/01D8","3 Years","9187","Virtual Machines Dv4 Series","Standard_D16_v4","D16 v4"
"DZH318Z092SF/011K","1 Year","563","Virtual Machines Dpdsv5 Series","Standard_D2pds_v5","Standard_D2pds_v5"
"DZH318Z092SF/011J","3 Years","1089","Virtual Machines Dpdsv5 Series","Standard_D2pds_v5","Standard_D2pds_v5"
"DZH318Z093WZ/041J","1 Year","16994","Virtual Machines Easv5 Series","Standard_E48as_v5","E48as v5"
"DZH318Z093WZ/041B","3 Years","32835","Virtual Machines Easv5 Series","Standard_E48as_v5","E48as v5"
"DZH318Z09B68/005J","3 Years","114059","ECasv5-series Linux","Standard_EC96ias_v5","Standard_EC96ias_v5"
"DZH318Z09B68/005M","1 Year","50693","ECasv5-series Linux","Standard_EC96ias_v5","Standard_EC96ias_v5"
"DZH318Z08W2R/016M","1 Year","5168","Virtual Machines Dadsv5 Series","Standard_D16ads_v5","Standard_D16ads_v5"
"DZH318Z08W2R/016B","3 Years","9986","Virtual Machines Dadsv5 Series","Standard_D16ads_v5","Standard_D16ads_v5"
"DZH318Z0BQ5B/0017","3 Years","60775","Virtual Machines NDS Series","Standard_ND12s","ND12s"
"DZH318Z0BQ5B/0015","1 Year","28739","Virtual Machines NDS Series","Standard_ND12s","ND12s"
"DZH318Z0BQ4W/05K2","1 Year","46909","Virtual Machines MS Series","Standard_M64","M64"
"DZH318Z0BQ4W/05K3","3 Years","68461","Virtual Machines MS Series","Standard_M64","M64"
"DZH318Z0BQ4W/000Q","3 Years","68461","Virtual Machines MS Series","Standard_M64s","M64s"
"DZH318Z0BQ4W/0018","1 Year","46909","Virtual Machines MS Series","Standard_M64s","M64s"
"DZH318Z0CTQD/009W","1 Year","205542","MSv2 Series Dedicated Host","Msmv2MedMem Type1","Msmv2MedMem Type1"
"DZH318Z0CTQD/00B0","3 Years","297681","MSv2 Series Dedicated Host","Msmv2MedMem Type1","Msmv2MedMem Type1"
"DZH318Z08NR6/0032","1 Year","51310","Lsv3 Series Dedicated Host","Lsv3_Type1","Lsv3 Type1"
"DZH318Z08NR6/0031","3 Years","101016","Lsv3 Series Dedicated Host","Lsv3_Type1","Lsv3 Type1"
"DZH318Z08M9W/02JK","3 Years","2297","Virtual Machines Dsv5 Series","Standard_D4s_v5","Standard_D4s_v5"
"DZH318Z08M9W/02JM","1 Year","1189","Virtual Machines Dsv5 Series","Standard_D4s_v5","Standard_D4s_v5"
"DZH318Z093WZ/0414","3 Years","65671","Virtual Machines Easv5 Series","Standard_E96as_v5","E96as v5"
"DZH318Z093WZ/0418","1 Year","33987","Virtual Machines Easv5 Series","Standard_E96as_v5","E96as v5"
"DZH318Z092S2/0111","1 Year","1604","Virtual Machines Dplsv5 Series","Standard_D8pls_v5","Standard_D8pls_v5"
"DZH318Z092S2/0113","3 Years","3100","Virtual Machines Dplsv5 Series","Standard_D8pls_v5","Standard_D8pls_v5"
"DZH318Z093WZ/040N","1 Year","2832","Virtual Machines Easv5 Series","Standard_E8-2as_v5","E8-2as v5"
"DZH318Z093WZ/040K","3 Years","5473","Virtual Machines Easv5 Series","Standard_E8-2as_v5","E8-2as v5"
"DZH318Z08M9X/029H","3 Years","9187","Virtual Machines Dv5 Series","Standard_D16_v5","Standard_D16_v5"
"DZH318Z08M9X/029K","1 Year","4755","Virtual Machines Dv5 Series","Standard_D16_v5","Standard_D16_v5"
"DZH318Z092S2/011K","1 Year","802","Virtual Machines Dplsv5 Series","Standard_D4pls_v5","Standard_D4pls_v5"
"DZH318Z092S2/0112","3 Years","1550","Virtual Machines Dplsv5 Series","Standard_D4pls_v5","Standard_D4pls_v5"
"DZH318Z08NR9/01P2","3 Years","82120","Lasv3 Series Linux","Standard_L80as_v3","Standard_L80as_v3"
"DZH318Z08NR9/01NZ","1 Year","41712","Lasv3 Series Linux","Standard_L80as_v3","Standard_L80as_v3"
"DZH318Z0CF0K/004C","3 Years","2267","Virtual Machines DCSv2 Series","Standard_DC1s_v2","DC1s v2"
"DZH318Z0CF0K/004F","1 Year","806","Virtual Machines DCSv2 Series","Standard_DC1s_v2","DC1s v2"
"DZH318Z09B5Z/0059","1 Year","7008","DCadsv5-series Linux","Standard_DC16ads_v5","Standard_DC16ads_v5"
"DZH318Z09B5Z/004L","3 Years","15768","DCadsv5-series Linux","Standard_DC16ads_v5","Standard_DC16ads_v5"
"DZH318Z0CSHL/0431","3 Years","60715","Virtual Machines Esv4 Series","Standard_E80is_v4","E80is v4"
"DZH318Z0CSHL/0433","1 Year","31423","Virtual Machines Esv4 Series","Standard_E80is_v4","E80is v4"
"DZH318Z08NR7/01QW","1 Year","46645","Virtual Machines Lsv3 Series","Standard_L80s_v3","Standard_L80s_v3"
"DZH318Z08NR7/01QT","3 Years","91833","Virtual Machines Lsv3 Series","Standard_L80s_v3","Standard_L80s_v3"
"DZH318Z09B6C/0057","1 Year","729","DCasv5-series Linux","Standard_DC2as_v5","Standard_DC2as_v5"
"DZH318Z09B6C/0045","3 Years","1640","DCasv5-series Linux","Standard_DC2as_v5","Standard_DC2as_v5"
"DZH318Z08NRF/005W","1 Year","30499","DCdsv3 Series Linux","Standard_DC32ds_v3","standard_DC32ds_v3"
"DZH318Z08NRF/0060","3 Years","68622","DCdsv3 Series Linux","Standard_DC32ds_v3","standard_DC32ds_v3"
"DZH318Z0BQ4W/00D1","1 Year","23521","Virtual Machines MS Series","Standard_M32s","M32s"
"DZH318Z0BQ4W/00D7","3 Years","34327","Virtual Machines MS Series","Standard_M32s","M32s"
"DZH318Z08W0T/0189","1 Year","25801","Virtual Machines Dasv5 Series","Standard_D96as_v5","Standard_D96as_v5"
"DZH318Z08W0T/0181","3 Years","49852","Virtual Machines Dasv5 Series","Standard_D96as_v5","Standard_D96as_v5"
"DZH318Z093X0/03XK","1 Year","39197","Virtual Machines Eadsv5 Series","Standard_E96-48ads_v5","E96-48ads v5"
"DZH318Z093X0/03XJ","3 Years","75737","Virtual Machines Eadsv5 Series","Standard_E96-48ads_v5","E96-48ads v5"
"DZH318Z08LV1/00G7","3 Years","63496","Virtual Machines MdSv2 Series","Standard_M32dms_v2","M32dms_v2"
"DZH318Z08LV1/00G8","1 Year","43838","Virtual Machines MdSv2 Series","Standard_M32dms_v2","M32dms_v2"
"DZH318Z09B5Z/005W","1 Year","21024","DCadsv5-series Linux","Standard_DC48ads_v5","Standard_DC48ads_v5"
"DZH318Z09B5Z/005V","3 Years","47304","DCadsv5-series Linux","Standard_DC48ads_v5","Standard_DC48ads_v5"
"DZH318Z0BQ4C/003K","1 Year","1434","Virtual Machines DSv2 Series","Standard_DS3_v2","DS3 v2"
"DZH318Z0BQ34/0055","3 Years","2964","Virtual Machines Dv2 Series","Standard_D3_v2","D3 v2"
"DZH318Z0BQ34/0054","1 Year","1434","Virtual Machines Dv2 Series","Standard_D3_v2","D3 v2"
"DZH318Z0BQ4C/001D","3 Years","2964","Virtual Machines DSv2 Series","Standard_DS3_v2","DS3 v2"
"DZH318Z09B68/006T","1 Year","15362","ECasv5-series Linux","Standard_EC32as_v5","Standard_EC32as_v5"
"DZH318Z09B68/006R","3 Years","34563","ECasv5-series Linux","Standard_EC32as_v5","Standard_EC32as_v5"
"DZH318Z0D1L5/018M","3 Years","17277","Virtual Machines Edv4 Series","Standard_E20d_v4","E20d v4"
"DZH318Z0D1L5/018N","1 Year","8941","Virtual Machines Edv4 Series","Standard_E20d_v4","E20d v4"
"DZH318Z0BQ4W/016C","1 Year","10836","Virtual Machines MS Series","Standard_M8-2ms","M8-2ms"
"DZH318Z0BQ4W/00G3","3 Years","15815","Virtual Machines MS Series","Standard_M8ms","M8ms"
"DZH318Z0BQ4W/01DN","3 Years","15815","Virtual Machines MS Series","Standard_M8-4ms","M8-4ms"
"DZH318Z0BQ4W/015S","3 Years","15815","Virtual Machines MS Series","Standard_M8-2ms","M8-2ms"
"DZH318Z0BQ4W/01DM","1 Year","10836","Virtual Machines MS Series","Standard_M8-4ms","M8-4ms"
"DZH318Z0BQ4W/00FW","1 Year","10836","Virtual Machines MS Series","Standard_M8ms","M8ms"
"DZH318Z0C0XF/001N","1 Year","7989","Virtual Machines NVSv3 Series","Standard_NV12s_v3","NV12s v3"
"DZH318Z0C0XF/0016","3 Years","16478","Virtual Machines NVSv3 Series","Standard_NV12s_v3","NV12s v3"
"DZH318Z0D1L5/0198","1 Year","7153","Virtual Machines Edv4 Series","Standard_E16d_v4","E16d v4"
"DZH318Z0D1L5/019B","3 Years","13821","Virtual Machines Edv4 Series","Standard_E16d_v4","E16d v4"
"DZH318Z0CSHJ/01D4","3 Years","27562","Virtual Machines Dsv4 Series","Standard_D48s_v4","D48s v4"
"DZH318Z0CSHJ/01D5","1 Year","14265","Virtual Machines Dsv4 Series","Standard_D48s_v4","D48s v4"
"DZH318Z0CSHK/03NP","1 Year","35766","Virtual Machines Edsv4 Series","Standard_E80ids_v4","E80ids v4"
"DZH318Z0CSHK/03NN","3 Years","69107","Virtual Machines Edsv4 Series","Standard_E80ids_v4","E80ids v4"
"DZH318Z08M9X/0298","3 Years","18375","Virtual Machines Dv5 Series","Standard_D32_v5","Standard_D32_v5"
"DZH318Z08M9X/0297","1 Year","9510","Virtual Machines Dv5 Series","Standard_D32_v5","Standard_D32_v5"
"DZH318Z0C621/0048","3 Years","43562","FSv2 Series Dedicated Host","Fsv2_Type2","Fsv2 Type2"
"DZH318Z0C621/002R","1 Year","21720","FSv2 Series Dedicated Host","Fsv2_Type2","Fsv2 Type2"
"DZH318Z0BQ4W/01D5","3 Years","31631","Virtual Machines MS Series","Standard_M16-4ms","M16-4ms"
"DZH318Z0BQ4W/019H","1 Year","21673","Virtual Machines MS Series","Standard_M16-8ms","M16-8ms"
"DZH318Z0BQ4W/019G","3 Years","31631","Virtual Machines MS Series","Standard_M16-8ms","M16-8ms"
"DZH318Z0BQ4W/01D6","1 Year","21673","Virtual Machines MS Series","Standard_M16-4ms","M16-4ms"
"DZH318Z0BQ4W/007S","3 Years","31631","Virtual Machines MS Series","Standard_M16ms","M16ms"
"DZH318Z0BQ4W/007R","1 Year","21673","Virtual Machines MS Series","Standard_M16ms","M16ms"
"DZH318Z0BQ4R/00XK","1 Year","22532","Virtual Machines ESv3 Series","Standard_E64is_v3","E64is v3"
"DZH318Z0BQ4R/040P","3 Years","45406","Virtual Machines ESv3 Series","Standard_E64is_v3","E64is v3"
"DZH318Z0BQ4L/00VR","1 Year","22532","Virtual Machines Ev3 Series","Standard_E64i_v3","E64i v3"
"DZH318Z0BQ4L/00ZX","3 Years","45406","Virtual Machines Ev3 Series","Standard_E64i_v3","E64i v3"
"DZH318Z092S2/010Z","1 Year","3209","Virtual Machines Dplsv5 Series","Standard_D16pls_v5","Standard_D16pls_v5"
"DZH318Z092S2/010X","3 Years","6200","Virtual Machines Dplsv5 Series","Standard_D16pls_v5","Standard_D16pls_v5"
"DZH318Z0D1L7/01RM","1 Year","7856","Virtual Machines Ev4 Series","Standard_E20_v4","E20 v4"
"DZH318Z0D1L7/01RH","3 Years","15179","Virtual Machines Ev4 Series","Standard_E20_v4","E20 v4"
"DZH318Z08M9X/029L","1 Year","14265","Virtual Machines Dv5 Series","Standard_D48_v5","Standard_D48_v5"
"DZH318Z08M9X/029J","3 Years","27562","Virtual Machines Dv5 Series","Standard_D48_v5","Standard_D48_v5"
"DZH318Z0BQM3/002B","3 Years","16541","Virtual Machines LSv2 Series","Standard_L16s_v2","L16s v2"
